p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene,cluster
5.61E-09,-0.337484418,0.885,0.494,1.12E-05,Krt2,14
2.16E-06,-0.268605994,0.892,0.364,0.004322863,Cd27,14
5.51E-06,-0.30113146,0.8,0.234,0.011010075,Clu,14
0.001885157,-0.368427679,0.938,0.61,1,Gzmc,14
0.028210725,-0.462944701,0.715,0.494,1,Krtdap,14
0.035966977,-0.256762656,0.369,0.286,1,Calca,14
0.051421542,-0.277548394,0.662,0.26,1,Slc7a11,14
0.054926732,-0.32731503,0.985,0.883,1,Anxa3,14
0.068980555,-0.255329386,1,0.987,1,Fscn1,14
0.083249917,-0.313763978,0.969,0.844,1,Sap18,14
6.37E-08,-0.312018691,1,0.659,0.000127349,Tnfsf11,15
0.000342918,-0.68183439,1,0.927,0.685835781,Irf8,15
0.000478877,-0.517905066,1,1,0.957754681,AW112010,15
0.001226594,0.282811679,0.342,0.024,1,AA467197,15
0.002180933,0.407824618,0.316,0.366,1,Jun,15
0.006275327,-0.84194836,0.987,0.976,1,Gzma,15
0.013794762,0.276637356,0.428,0.659,1,Ccl6,15
0.016700303,0.61701282,0.336,0.268,1,Spp1,15
0.019970401,-0.25040719,0.796,0.537,1,Cks2,15
0.020482653,-0.264546027,0.98,0.732,1,Fam49a,15
5.15E-06,-0.471373331,1,1,0.01030847,Cd74,16
9.73E-06,0.370092431,0.958,0.508,0.019464879,Maf,16
5.16E-05,-0.460908688,1,1,0.103245013,H2-Aa,16
8.63E-05,-0.585753682,0.986,0.951,0.172565829,Wfdc17,16
0.000103992,-0.41982989,1,1,0.207984614,H2-Ab1,16
0.000147472,-0.39320454,1,0.967,0.294943929,H2-DMa,16
0.000396474,-0.252822361,0.986,1,0.79294843,Tyrobp,16
0.000439493,-0.468611557,0.931,0.557,0.878986751,Pf4,16
0.000462161,-0.35298733,0.986,1,0.924322069,H2-Eb1,16
0.000537892,-0.368111773,0.986,1,1,Lsp1,16
0.000698804,0.281418982,0.786,0.256,1,Ccl3,17
0.001367447,0.454726388,0.214,0.478,1,Cxcl10,17
0.001601813,0.35191052,0.786,0.167,1,Ccl4,17
0.00215262,0.260969591,0.857,0.489,1,Ccl2,17
0.004008641,0.343573131,0.929,0.589,1,Cd83,17
0.012278733,-0.515279313,1,0.644,1,Gzmc,17
0.014521895,-0.278300826,0.929,0.467,1,Gzmf,17
0.039650183,0.329370734,0.357,0.6,1,Ifi204,17
0.040254601,-0.262759121,0.929,0.422,1,Rbp4,17
0.077471606,0.253259972,0.429,0.044,1,Ccr5,17
1.43E-08,0.34960908,0.767,0.065,2.86E-05,Npl,18
1.05E-06,0.430589148,0.167,0.239,0.002100551,Cxcl10,18
6.19E-05,-0.517246524,0.5,0.696,0.123752001,Cldn1,18
8.53E-05,-0.450005561,0.767,0.826,0.170679077,Csf1r,18
8.88E-05,0.286494721,0.933,0.348,0.177671454,Pqbp1,18
9.04E-05,-0.296761055,0.867,0.196,0.180710263,Dsc3,18
0.000199466,0.359462669,0.8,0.217,0.398932075,Plac8,18
0.000204323,0.282577769,0.233,0.217,0.408645004,Fgr,18
0.000215501,-0.335073544,0.767,0.065,0.431002858,Enpp2,18
0.000341844,-0.287933611,0.933,0.239,0.683688216,Exosc2,18
0.000221235,0.454679466,0.957,0.462,0.442469624,Batf,19
0.000856296,0.296289638,0.957,0.538,1,Igf1,19
0.000982135,-0.378492204,0.217,0.615,1,Myo1c,19
0.001004825,-0.704585206,0.957,1,1,Hspa5,19
0.001713448,0.522684402,0.957,0.231,1,Mmp14,19
0.001731271,-0.321895312,0.217,0.385,1,Il18,19
0.002414123,0.471774751,0.913,0.385,1,Cybb,19
0.002666009,-0.29875368,0.043,0.231,1,Hvcn1,19
0.003707957,0.299449519,0.913,0.462,1,Itga6,19
0.004593891,0.312141658,0.957,0.385,1,Ptpre,19
0.013776675,-0.261398569,1,0.667,1,Cxcl3,20
0.013776675,-0.263266252,1,0.667,1,Amigo2,20
0.013776675,-0.295759375,1,0.667,1,Tnf,20
0.013776675,-0.356453023,1,0.667,1,Cyp11a1,20
0.015865886,0.25155932,0.167,0.167,1,Zmynd15,20
0.018308087,-0.487807056,1,0.667,1,Gm20186,20
0.021028399,-1.224895055,1,0.667,1,Ccl6,20
0.031347551,0.405814415,0.208,0.5,1,Olr1,20
0.045895394,-0.253207475,1,0.667,1,Satb1,20
0.091834955,0.414528757,0.292,0.5,1,Gpr137b,20
