"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rgs22",1.26865592829874e-31,0.456090646992609,1,0.882,2.11903599703739e-27,"6","Rgs2"
"Acox1",4.90691772266349e-31,0.283968028306778,0.48,0.154,8.19602467216483e-27,"6","Acox1"
"Maff1",8.10823564676154e-31,0.453295171938129,0.905,0.506,1.35431860007858e-26,"6","Maff"
"Camk11",2.59975544303861e-30,0.302219577298786,0.51,0.172,4.34237151650739e-26,"6","Camk1"
"Cyb5r3",3.68442068328945e-30,0.447926914793849,0.785,0.378,6.15408786729837e-26,"6","Cyb5r3"
"Zmynd15",3.95525535311166e-30,0.279100399644006,0.355,0.092,6.6064630163024e-26,"6","Zmynd15"
"Plet1",7.21163221391768e-30,0.377924684358403,0.51,0.179,1.20455892869067e-25,"6","Plet1"
"Irf4",7.858170224738e-30,0.33699350048837,0.475,0.154,1.31255017263799e-25,"6","Irf4"
"Sec24d",9.48041841778778e-30,0.357190444089173,0.35,0.093,1.58351428832309e-25,"6","Sec24d"
"Phc2",1.0221582793508e-29,0.370565770246384,0.57,0.218,1.70731097399964e-25,"6","Phc2"
"Cyld",1.04262409607952e-29,0.303436767260967,0.61,0.221,1.74149502768161e-25,"6","Cyld"
"Gfpt11",1.05140551275724e-29,0.333122615937332,0.745,0.316,1.75616262795841e-25,"6","Gfpt1"
"Ctsz3",1.40790771647295e-29,0.490873683186951,0.97,0.598,2.35162825882476e-25,"6","Ctsz"
"Cytip",1.42700497798905e-29,0.474332278916822,0.995,0.767,2.38352641473511e-25,"6","Cytip"
"Mark3",1.48797942409743e-29,0.268650830623711,0.62,0.231,2.48537203206994e-25,"6","Mark3"
"Naga",1.60095506653353e-29,0.322436445402953,0.605,0.235,2.67407524763096e-25,"6","Naga"
"Snx201",2.01692564108152e-29,0.419151449557218,0.845,0.417,3.36887089829846e-25,"6","Snx20"
"N4bp1",2.07644153078747e-29,0.420019148589308,0.81,0.405,3.46828028887432e-25,"6","N4bp1"
"Klf7",2.96373532737164e-29,0.302711305996718,0.585,0.215,4.95032711730884e-25,"6","Klf7"
"Rabgef1",3.15173998854964e-29,0.325541313017483,0.7,0.303,5.26435130287446e-25,"6","Rabgef1"
"Themis2",3.49505056911878e-29,0.279079242261738,0.29,0.069,5.8377829655991e-25,"6","Themis2"
"Plek3",4.86457700468098e-29,0.40149839743471,0.925,0.515,8.12530297091863e-25,"6","Plek"
"Gnai2",5.69297057804533e-29,0.405229471455749,0.995,0.884,9.50896875650911e-25,"6","Gnai2"
"Tyrobp3",6.25699429441201e-29,0.429545001158727,0.995,0.68,1.04510575699564e-24,"6","Tyrobp"
"Tuba1c1",7.00327611372206e-29,0.438516837329644,0.87,0.464,1.169757209275e-24,"6","Tuba1c"
"Syngr21",8.55550875016674e-29,0.382328753185267,0.955,0.612,1.42902662654035e-24,"6","Syngr2"
"Ddx6",1.39245493174126e-28,0.474361008103809,0.875,0.492,2.32581747248742e-24,"6","Ddx6"
"Smim31",1.8451328572034e-28,0.419413550103802,0.91,0.513,3.08192541138684e-24,"6","Smim3"
"Uck21",3.16108016281681e-28,0.485280739489371,0.775,0.381,5.27995219595291e-24,"6","Uck2"
"Dbi",8.76381893926139e-28,0.53642962746806,0.91,0.6,1.46382067742483e-23,"6","Dbi"
"Slc25a33",9.55968755501415e-28,0.270805041918587,0.405,0.126,1.59675461231401e-23,"6","Slc25a33"
"Osgin2",1.34730885109141e-27,0.346986208936908,0.59,0.234,2.25040997397798e-23,"6","Osgin2"
"Rhof1",1.40547020934319e-27,0.461036579679643,0.875,0.514,2.34755689066593e-23,"6","Rhof"
"Arhgef2",1.70533085817677e-27,0.345979082277066,0.635,0.266,2.84841413241265e-23,"6","Arhgef2"
"Marcksl13",4.91800437345879e-27,0.493994435395618,0.96,0.652,8.21454270498821e-23,"6","Marcksl1"
"Mpp61",1.44889074879991e-26,0.400834360326407,0.855,0.461,2.42008221772048e-22,"6","Mpp6"
"Kdm2b1",1.90852863952466e-26,0.545683300119119,0.885,0.534,3.18781538659804e-22,"6","Kdm2b"
"Adora2b2",2.26159627777284e-26,0.329927951648157,0.545,0.211,3.77754426276398e-22,"6","Adora2b"
"Cdkn1a1",3.52193474536706e-26,0.44875541611529,0.995,0.883,5.8826876051866e-22,"6","Cdkn1a"
"Lmnb11",3.65352615644968e-26,0.480718280638892,0.92,0.541,6.10248473911791e-22,"6","Lmnb1"
"Epb41l21",3.83867117567256e-26,0.304989670279101,0.655,0.279,6.41173246472587e-22,"6","Epb41l2"
"Ptprj1",4.30078000328872e-26,0.321349842970263,0.655,0.28,7.18359283949315e-22,"6","Ptprj"
"Rhoq1",5.5178829184536e-26,0.394720076059469,0.77,0.381,9.21651983869306e-22,"6","Rhoq"
"Fcgr2b3",6.97488086687021e-26,0.317751682551079,0.68,0.294,1.16501435119333e-21,"6","Fcgr2b"
"Vasp",7.21915497759632e-26,0.473820007254741,0.965,0.727,1.20581545590791e-21,"6","Vasp"
"Arl5a",2.35140956255101e-25,0.292072778211508,0.595,0.242,3.92755939232895e-21,"6","Arl5a"
"1810037I17Rik",2.86324211058194e-25,0.490563589167985,0.94,0.698,4.78247329730501e-21,"6","1810037I17Rik"
"Arl4c1",4.91936360192712e-25,0.412255808889522,0.99,0.814,8.21681302429887e-21,"6","Arl4c"
"Pik3r5",5.87659327275958e-25,0.310988638941344,0.68,0.297,9.81567374349032e-21,"6","Pik3r5"
"Fkbp1a",7.11004630489581e-25,0.453587802134427,0.94,0.726,1.18759103430675e-20,"6","Fkbp1a"
"S100a1",7.65339251882072e-25,0.295418765201234,0.59,0.24,1.27834615241862e-20,"6","S100a1"
"Skap23",9.38523288268318e-25,0.307909094860359,0.745,0.349,1.56761544839457e-20,"6","Skap2"
"Tmem50b",1.29770207824576e-24,0.29385932542402,0.575,0.238,2.1675517812939e-20,"6","Tmem50b"
"Plaur3",1.51688539218178e-24,0.59749157238356,0.93,0.582,2.53365367056123e-20,"6","Plaur"
"Pank2",2.8135592881326e-24,0.269041004480124,0.665,0.29,4.69948807896787e-20,"6","Pank2"
"Gabarapl1",3.76237609189448e-24,0.328329990511117,0.695,0.313,6.28429678629135e-20,"6","Gabarapl1"
"Tcn2",6.19912229420659e-24,0.250223221456026,0.39,0.126,1.03543939680133e-19,"6","Tcn2"
"AI6078733",6.45589653130822e-24,0.312389094572059,0.58,0.239,1.07832839762441e-19,"6","AI607873"
"Got11",6.54600139274502e-24,0.308735143338207,0.855,0.435,1.0933786126302e-19,"6","Got1"
"Dpysl2",8.80256068769472e-24,0.402564438472507,0.8,0.424,1.47029171166565e-19,"6","Dpysl2"
"Creld2",1.1589546440443e-23,0.367721207323576,0.62,0.278,1.93580194194719e-19,"6","Creld2"
"Rhoc1",1.17395067905793e-23,0.280925714093815,0.635,0.274,1.96084981923046e-19,"6","Rhoc"
"Tbcb",1.84943784505339e-23,0.44119148945237,0.91,0.583,3.08911603259268e-19,"6","Tbcb"
"Nfkbie1",4.44702847808387e-23,0.435521765607754,0.835,0.449,7.42787166694349e-19,"6","Nfkbie"
"Il1b3",6.36838630570958e-23,0.580261646960381,0.905,0.675,1.06371156464267e-18,"6","Il1b"
"Dapp1",1.10307359770814e-22,0.370202177429666,0.63,0.283,1.8424638302519e-18,"6","Dapp1"
"Ehd11",1.41933046748755e-22,0.414708963569369,0.845,0.507,2.37070767984446e-18,"6","Ehd1"
"Txnrd11",1.44098643538478e-22,0.406354884124815,0.88,0.521,2.4068796430232e-18,"6","Txnrd1"
"Vegfa",1.63599546141842e-22,0.276053850688216,0.45,0.166,2.73260321920719e-18,"6","Vegfa"
"Pmepa1",1.64401667194039e-22,0.264397979321038,0.65,0.28,2.74600104714203e-18,"6","Pmepa1"
"Hk21",1.93757272748505e-22,0.465962647159875,0.82,0.484,3.23632772671828e-18,"6","Hk2"
"B4galt52",2.31830793625243e-22,0.369204215779653,0.785,0.416,3.87226974592243e-18,"6","B4galt5"
"Rell11",3.83446101928566e-22,0.364814206134106,0.785,0.419,6.40470024051284e-18,"6","Rell1"
"Lactb",7.70866635019612e-22,0.288114295470523,0.735,0.355,1.28757854047326e-17,"6","Lactb"
"Sema6d",1.89201150752216e-21,0.258499711204754,0.515,0.208,3.16022682101427e-17,"6","Sema6d"
"Mcl13",1.94386468192278e-21,0.391195856906013,0.94,0.658,3.24683717821563e-17,"6","Mcl1"
"Grb2",4.39551492782876e-21,0.370308000648652,0.94,0.664,7.34182858395238e-17,"6","Grb2"
"Tcp11l2",5.47775989820158e-21,0.332017407030282,0.74,0.353,9.14950235796609e-17,"6","Tcp11l2"
"Slc38a11",1.03368137780331e-20,0.294755458458675,0.82,0.443,1.72655800534487e-16,"6","Slc38a1"
"Spi13",1.16608345134584e-20,0.277544501765362,0.87,0.441,1.94770918878296e-16,"6","Spi1"
"Hmgcs1",1.39738827871332e-20,0.31326606084858,0.57,0.252,2.33405764193486e-16,"6","Hmgcs1"
"Idi1",8.58000846014919e-20,0.274205837646688,0.535,0.222,1.43311881309872e-15,"6","Idi1"
"Gpr1831",3.21897142709453e-19,0.437274460773141,0.685,0.361,5.37664797467599e-15,"6","Gpr183"
"Tnip11",9.7477202682365e-19,0.370445792991224,0.78,0.429,1.62816171640354e-14,"6","Tnip1"
"Ywhah",9.99869641402036e-19,0.474535245312877,0.96,0.749,1.67008226203382e-14,"6","Ywhah"
"2010005H15Rik",1.00069366382756e-18,0.459504557574553,0.145,0.028,1.67145862669118e-14,"6","2010005H15Rik"
"Cux12",1.48438787122235e-18,0.271194400808425,0.635,0.308,2.47937306130269e-14,"6","Cux1"
"Zeb11",2.76760241015684e-18,0.32969063237576,0.885,0.546,4.62272630568496e-14,"6","Zeb1"
