"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","cluster"
"1",5.52524691328903e-46,1.42564537689388,0.708,0.383,1.10504938265781e-42,"Hba-a1",0
"2",8.13259754020162e-44,1.3016944367773,0.623,0.048,1.62651950804032e-40,"Hba-a2",0
"3",3.73909367141865e-14,-0.289167919188274,0.956,0.641,7.47818734283729e-11,"Nrip3",0
"4",5.09544396430569e-09,-0.285331933049268,0.895,0.587,1.01908879286114e-05,"Abt1",0
"5",8.96347403510053e-08,-0.279673210884066,0.766,0.501,0.000179269480702011,"Jun",0
"6",3.9126011473584e-06,-0.286671756375564,0.698,0.472,0.0078252022947168,"Gzmc",0
"7",0.000210441079563706,-0.332719166658912,0.946,0.697,0.420882159127413,"Mt1",0
"8",0.000223263473871239,-0.305650324121395,0.836,0.571,0.446526947742478,"Tsc22d3",0
"9",0.00812717094918529,-0.251051722018722,0.876,0.62,1,"Kdm6b",0
"10",0.0354047933196587,-0.320609414361604,0.966,0.755,1,"Xcl1",0
"11",0.0426289355719674,-0.269591235868431,0.863,0.741,1,"Nfkbia",0
"12",0.0712405432727545,-0.261018078609726,0.986,0.89,1,"Sap18",0
"13",0.186271921049342,-0.283789530762565,0.828,0.639,1,"Hilpda",0
"14",0.398873096239831,-0.294250153265736,0.837,0.67,1,"Plaur",0
"15",0.667020433088662,-0.292961812720367,0.666,0.547,1,"Gzmb",0
"16",3.24180961449316e-06,-0.299496919730201,0.948,0.659,0.00648361922898632,"Gm10094",1
"17",0.00036562224131828,-0.32026577459004,0.976,0.73,0.73124448263656,"5430421N21Rik",1
"18",0.000446360343874671,-0.357923938003568,0.903,0.769,0.892720687749342,"Gm12840",1
"19",0.00142331102693676,-0.269319717278989,0.965,0.765,1,"Tnfsf11",1
"20",0.00142542236137582,-0.284167314459868,0.971,0.665,1,"Plaur",1
"21",0.00150782834960096,-0.331126874930561,0.989,0.888,1,"Sfn",1
"22",0.00387261462880753,-0.253723346894203,0.897,0.675,1,"Cd163l1",1
"23",0.00761699571242264,-0.297029582883588,0.951,0.72,1,"Rrad",1
"24",0.0181426605518512,-0.276098001579263,0.997,0.938,1,"Cstb",1
"25",0.0224618064500457,-0.283444125302873,0.992,0.775,1,"Cebpb",1
"26",0.0404079642832022,-0.251932993432407,0.994,0.905,1,"Kdm6b",1
"27",0.0677905470715095,-0.283567597750041,0.973,0.809,1,"Dusp1",1
"28",0.140884639494747,-0.286592499619919,0.968,0.756,1,"Fos",1
"29",0.167834933888287,-0.347935278007245,0.982,0.819,1,"Sap18",1
"30",0.305087025706734,-0.306696121392873,0.989,0.759,1,"Cdk11b",1
"31",0.34458303887092,-0.26435437586273,0.998,0.956,1,"Gm42418",1
"32",6.68956443951538e-33,-0.351876641980275,0.968,0.448,1.33791288790308e-29,"Ccl17",2
"33",8.78879525641109e-10,0.997885412798415,0.382,0.09,1.75775905128222e-06,"Saa3",2
"34",2.1574011908007e-09,0.295873203089911,0.373,0.113,4.31480238160141e-06,"Gzma",2
"35",1.49412112847739e-08,-0.565024953102572,0.995,0.719,2.98824225695478e-05,"Lyz1",2
"36",7.26336577289939e-08,-0.339189350385904,0.995,0.946,0.000145267315457988,"Ctsb",2
"37",8.5830076546345e-08,-0.358387185991098,0.763,0.427,0.00017166015309269,"Cxcl1",2
"38",1.50401530855533e-07,-0.47787368764761,0.827,0.582,0.000300803061711066,"Ccl8",2
"39",1.13393711212762e-06,-0.273217626211591,0.939,0.896,0.00226787422425523,"Cd63",2
"40",4.73756099148311e-06,-0.35422969206546,0.953,0.884,0.00947512198296622,"C1qc",2
"41",7.36826781000233e-06,-0.293827662410483,0.972,0.931,0.0147365356200047,"Lgmn",2
"42",7.80813669252988e-06,-0.342722274128241,0.964,0.863,0.0156162733850598,"C1qa",2
"43",4.15490733596159e-05,-0.30084710660962,0.995,0.97,0.0830981467192317,"Ier3",2
"44",5.5739517681325e-05,-0.369776392394695,0.945,0.887,0.11147903536265,"Mafb",2
"45",6.0258861994517e-05,-0.327389471102879,0.958,0.907,0.120517723989034,"C1qb",2
"46",8.99385414406968e-05,-0.326331098872041,0.997,0.869,0.179877082881394,"Mrc1",2
"47",0.000150417576537764,-0.276094779673911,0.935,0.827,0.300835153075527,"Abca1",2
"48",0.00198739457823817,-0.605600459939642,0.984,0.931,1,"Apoe",2
"49",0.00292937933666286,-0.677471724924676,0.998,0.857,1,"Pf4",2
"50",0.00297016517962635,-0.251811857605651,0.907,0.857,1,"Rgl1",2
"51",0.00382739716894788,-0.432027076881791,0.987,0.875,1,"Sepp1",2
