"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","cluster"
"1",5.52524691328903e-46,1.42564537689388,0.708,0.383,1.10504938265781e-42,"Hba-a1",0
"2",8.13259754020162e-44,1.3016944367773,0.623,0.048,1.62651950804032e-40,"Hba-a2",0
"3",3.73909367141865e-14,-0.289167919188274,0.956,0.641,7.47818734283729e-11,"Nrip3",0
"4",5.09544396430569e-09,-0.285331933049268,0.895,0.587,1.01908879286114e-05,"Abt1",0
"5",8.96347403510053e-08,-0.279673210884066,0.766,0.501,0.000179269480702011,"Jun",0
"6",3.9126011473584e-06,-0.286671756375564,0.698,0.472,0.0078252022947168,"Gzmc",0
"7",0.000210441079563706,-0.332719166658912,0.946,0.697,0.420882159127413,"Mt1",0
"8",0.000223263473871239,-0.305650324121395,0.836,0.571,0.446526947742478,"Tsc22d3",0
"9",0.00812717094918529,-0.251051722018722,0.876,0.62,1,"Kdm6b",0
"10",0.0354047933196587,-0.320609414361604,0.966,0.755,1,"Xcl1",0
"11",3.24180961449316e-06,-0.299496919730201,0.948,0.659,0.00648361922898632,"Gm10094",1
"12",0.00036562224131828,-0.32026577459004,0.976,0.73,0.73124448263656,"5430421N21Rik",1
"13",0.000446360343874671,-0.357923938003568,0.903,0.769,0.892720687749342,"Gm12840",1
"14",0.00142331102693676,-0.269319717278989,0.965,0.765,1,"Tnfsf11",1
"15",0.00142542236137582,-0.284167314459868,0.971,0.665,1,"Plaur",1
"16",0.00150782834960096,-0.331126874930561,0.989,0.888,1,"Sfn",1
"17",0.00387261462880753,-0.253723346894203,0.897,0.675,1,"Cd163l1",1
"18",0.00761699571242264,-0.297029582883588,0.951,0.72,1,"Rrad",1
"19",0.0181426605518512,-0.276098001579263,0.997,0.938,1,"Cstb",1
"20",0.0224618064500457,-0.283444125302873,0.992,0.775,1,"Cebpb",1
"21",6.68956443951538e-33,-0.351876641980275,0.968,0.448,1.33791288790308e-29,"Ccl17",2
"22",8.78879525641109e-10,0.997885412798415,0.382,0.09,1.75775905128222e-06,"Saa3",2
"23",2.1574011908007e-09,0.295873203089911,0.373,0.113,4.31480238160141e-06,"Gzma",2
"24",1.49412112847739e-08,-0.565024953102572,0.995,0.719,2.98824225695478e-05,"Lyz1",2
"25",7.26336577289939e-08,-0.339189350385904,0.995,0.946,0.000145267315457988,"Ctsb",2
"26",8.5830076546345e-08,-0.358387185991098,0.763,0.427,0.00017166015309269,"Cxcl1",2
"27",1.50401530855533e-07,-0.47787368764761,0.827,0.582,0.000300803061711066,"Ccl8",2
"28",1.13393711212762e-06,-0.273217626211591,0.939,0.896,0.00226787422425523,"Cd63",2
"29",4.73756099148311e-06,-0.35422969206546,0.953,0.884,0.00947512198296622,"C1qc",2
"30",7.36826781000233e-06,-0.293827662410483,0.972,0.931,0.0147365356200047,"Lgmn",2
"31",3.68278478135088e-13,-0.321535421770864,0.944,0.63,7.36556956270177e-10,"Calca",3
"32",1.36290213305416e-08,-0.329440659641804,0.587,0.247,2.72580426610831e-05,"Ccl1",3
"33",1.11452231259235e-06,-0.274551045810948,0.958,0.589,0.0022290446251847,"Tsc22d1",3
"34",0.000441331749649899,-0.28331199507505,0.754,0.544,0.882663499299799,"Cxcl2",3
"35",0.000457789312564401,-0.288867466488563,0.942,0.7,0.915578625128801,"Rrad",3
"36",0.0181948881147527,-0.269690480816752,0.954,0.628,1,"Cd7",3
"37",0.237085167911208,-0.312614096539443,0.677,0.617,1,"Il13",3
"38",0.282903308569883,-0.302566271087466,0.998,0.996,1,"Actb",3
"39",0.647982064765478,-0.256928427717943,0.979,0.846,1,"Fgl2",3
"40",1.60291010693479e-09,-0.341944731128317,0.876,0.512,3.20582021386957e-06,"Mmp12",4
"41",7.09007095698252e-09,-0.318924841249596,0.997,0.929,1.4180141913965e-05,"Mgl2",4
"42",1.87619060334771e-08,0.485472552639953,0.389,0.102,3.75238120669542e-05,"Saa3",4
"43",1.23690758453199e-06,-0.41953576346677,0.862,0.589,0.00247381516906398,"Hmox1",4
"44",3.88618873928593e-06,-0.940755440083582,0.94,0.618,0.00777237747857186,"Ccl17",4
"45",5.63353333321931e-05,-0.602679590280494,0.923,0.604,0.112670666664386,"Lyz1",4
"46",0.000154165732139683,-0.254779197207022,0.756,0.475,0.308331464279365,"Apod",4
"47",0.00447699296205663,-0.25099364899545,0.988,0.923,1,"Sdc4",4
"48",0.016627688251613,-0.301847452857417,0.89,0.608,1,"Ear2",4
"49",0.0221458049453636,-0.461401973207482,0.991,0.902,1,"Mt1",4
